title,release_date,vote_average,vote_count,popularity,duration,genres
Exterritorial,2025-04-29,6.956,102,659.2202,109,"Thriller, Action"
A Working Man,2025-03-26,6.494,551,497.1834,116,"Action, Crime, Thriller"
Van Gogh by Vincent,2025-03-26,6.375,12,421.006,46,Documentary
Havoc,2025-04-24,6.619,461,459.9132,107,"Action, Crime, Thriller"
A Minecraft Movie,2025-03-31,6.189,807,396.3539,101,"Family, Comedy, Adventure, Fantasy"
Thunderbolts*,2025-04-30,7.663,325,346.8975,127,"Action, Adventure, Science Fiction"
Jewel Thief: The Heist Begins,2025-04-25,6.9,28,315.7314,118,"Action, Thriller"
In the Lost Lands,2025-02-27,6.325,320,255.8634,102,"Action, Fantasy, Adventure"
Captain America: Brave New World,2025-02-12,6.162,1712,259.4466,119,"Action, Thriller, Science Fiction"
Death of a Unicorn,2025-03-27,6.192,130,255.1396,107,"Horror, Fantasy, Comedy, Adventure"
Desert Dawn,2025-05-15,0.0,0,208.1377,89,"Action, Crime, Mystery, Thriller"
Day of Reckoning,2025-03-28,6.846,13,237.3647,106,"Western, Action"
Saint Catherine,2025-04-11,6.231,13,219.0283,86,Horror
Sinners,2025-04-16,7.6,528,203.8233,138,"Horror, Music, Thriller"
The Monkey,2025-02-14,5.895,559,200.0968,97,"Horror, Comedy"
Bullet Train Explosion,2025-04-23,6.878,131,179.5824,137,"Action, Thriller, Crime, Drama"
Alien,1979-05-25,8.163,15244,161.6796,117,"Horror, Science Fiction"
GoodFellas,1990-09-12,8.456,13341,126.1394,145,"Drama, Crime"
Another Simple Favor,2025-03-07,6.593,97,184.9015,123,"Thriller, Comedy, Crime"
Captain Marvel,2019-03-06,6.801,16001,126.5237,124,"Action, Adventure, Science Fiction"
Dunkirk,2017-07-19,7.45,16765,138.6047,107,"War, Action, Drama"
Blade Runner 2049,2017-10-04,7.579,14088,143.3941,164,"Science Fiction, Drama"
Wonder Woman,2017-05-30,7.216,20191,125.1729,141,"Action, Adventure, Fantasy"
Black Widow,2021-07-07,7.208,10492,113.5818,134,"Action, Adventure, Science Fiction"
The Siege,2023-03-10,5.337,46,146.225,97,"Action, Thriller"
Drop,2025-04-10,6.617,226,154.5836,95,"Mystery, Thriller"
G20,2025-04-09,6.558,438,117.3928,108,"Action, Mystery, Drama"
Novocaine,2025-03-12,6.925,675,117.0452,110,"Action, Comedy, Thriller"
Laila,2025-02-14,5.0,3,123.4624,134,"Comedy, Romance"
Mufasa: The Lion King,2024-12-18,7.419,2050,117.0211,118,"Adventure, Family, Animation"
The Accountant²,2025-04-23,7.205,112,112.9602,133,"Crime, Thriller, Action"
Conclave,2024-10-25,7.213,2244,111.6668,120,"Drama, Thriller, Mystery"
Moana 2,2024-11-21,7.1,2313,118.6005,100,"Animation, Adventure, Family, Comedy"
Underworld: Blood Wars,2016-11-24,5.898,3741,98.9743,91,"Fantasy, Action, Thriller, Science Fiction"
Ash,2025-03-20,5.386,176,98.6251,95,"Science Fiction, Horror, Thriller"
Red to Kill,1994-10-20,6.2,25,95.8891,91,Horror
Sonic the Hedgehog 3,2024-12-19,7.725,2505,108.5839,110,"Action, Science Fiction, Comedy, Family"
The Social Network,2010-10-01,7.369,12403,78.1195,121,Drama
Winter Spring Summer or Fall,2024-12-27,7.1,71,85.0679,97,"Romance, Comedy, Drama"
Colossal,2017-04-06,6.281,2125,65.9025,109,"Drama, Fantasy, Science Fiction"
The Karate Kid,2010-06-10,6.549,6158,80.9417,140,"Action, Adventure, Drama, Family"
The Sloth Lane,2024-07-25,6.3,14,82.9738,90,"Animation, Family"
Gunslingers,2025-04-11,6.522,46,82.3414,104,"Western, Action"
The Breakfast Club,1985-02-15,7.735,8136,62.8124,98,"Comedy, Drama"
The Accountant,2016-10-13,7.102,6488,69.4648,128,"Crime, Thriller, Drama"
